,type,keyLen,filesize,time
0,RSA_encryption,1024,201,13.153148889541626
0,RSA_encryption,2048,329,4.537703990936279
0,RSA_encryption,4096,585,9.099114418029785
0,RSA_decryption,1024,201,0.23659443855285645
0,RSA_decryption,2048,329,0.14961600303649902
0,RSA_decryption,4096,585,0.21894073486328125
0,AES_Encryption,16,112,0.02791309356689453
0,AES_Encryption,24,112,0.021222829818725586
0,AES_Encryption,32,112,0.02920699119567871
0,AES_Encryption,16,118,0.02671980857849121
0,AES_Encryption,24,118,0.024074316024780273
0,AES_Encryption,32,118,0.025725841522216797
0,AES_decryption,16,112,0.01819586753845215
0,AES_decryption,24,112,0.019117355346679688
0,AES_decryption,32,112,0.027035236358642578
0,AES_decryption,16,118,0.018970727920532227
0,AES_decryption,24,118,0.019150733947753906
0,AES_decryption,32,118,0.018883705139160156
0,Signature,1024,128,0.05798149108886719
0,Signature,2048,256,0.11229467391967773
0,Signature,4096,512,0.3140535354614258
0,Signature_Verification,1024,128,0.0599362850189209
0,Signature_Verification,2048,256,0.10599660873413086
0,Signature_Verification,4096,512,0.3287994861602783
0,Signature,1024,128,0.06000113487243652
0,Signature_Verification,1024,128,0.0681765079498291
